CLI,UTSOU,CPACK,CPRO,ETA,DDSOU,DFSOU
43582451,000278    ,      ,213,VA,2024-01-08,2024-03-04
43582451,000278    ,000011,   ,VA,2024-01-08,2024-03-04
43582377,000485    ,000011,213,VA,2024-01-08,
43582377,000485    ,000011,   ,VA,2024-01-08,
43582674,000537    ,000011,201,VA,2024-01-08,
43582748,010148    ,000011,201,VA,2024-01-08,
43582674,000537    ,000011,490,VA,2024-01-08,2028-01-15
43582674,000537    ,000011,222,VA,2024-01-08,
43582823,000652    ,      ,201,VA,2024-01-08,
43582674,000537    ,000011,653,VA,2024-01-08,2027-12-31
43582674,000537    ,000011,643,VA,2024-01-08,2025-01-08
43582674,000537    ,000011,613,VA,2024-01-08,2024-01-08
43582674,000537    ,000011,210,VA,2024-01-08,2028-01-08
43582674,000537    ,000011,213,VA,2024-01-08,
43582674,000537    ,000011,   ,VA,2024-01-08,
43582823,000652    ,      ,665,VA,2024-01-08,2028-12-31
43582971,010150    ,000077,201,VA,2024-01-08,
43582971,010150    ,000077,665,VA,2024-01-08,2028-12-31
43583046,000538    ,000011,222,VA,2024-01-08,
43582971,010150    ,000077,210,VA,2024-01-08,
43582971,010150    ,000077,   ,VA,2024-01-08,
43583120,010108    ,000077,201,VA,2024-01-08,
43583194,010154    ,000022,222,VA,2024-01-08,
43583269,000485    ,000011,222,VA,2024-01-08,
43583269,000485    ,000011,201,VA,2024-01-08,
43583269,000485    ,000011,653,VA,2024-01-08,2027-12-31
43583269,000485    ,000011,643,VA,2024-01-08,2025-01-08
43583269,000485    ,000011,210,VA,2024-01-08,
43583269,000485    ,000011,213,VA,2024-01-08,
43583269,000485    ,000011,   ,VA,2024-01-08,
43583343,000538    ,      ,222,VA,2024-01-08,2024-05-23
43583417,000695    ,      ,201,VA,2024-01-08,
43583492,010150    ,000011,222,VA,2024-01-08,
43583566,000486    ,      ,222,VA,2024-01-08,2024-08-21
43583640,000373    ,      ,221,VA,2024-01-08,
43583640,000373    ,      ,251,VA,2024-01-08,
43583640,000373    ,      ,003,VA,2024-01-08,
43583566,000486    ,      ,210,VA,2024-01-08,2024-08-08
